Unnamed: 0,date,close,high,low,volume,qav,Cross
0,2024-03-10 23:00:00.999,68413.29,68417.36,68401.27,3.96514,271257.7098395,
1,2024-03-10 23:00:01.999,68408.66,68413.48,68403.93,1.64743,112698.9799746,
2,2024-03-10 23:00:02.999,68414.64,68417.97,68404.36,1.37746,94235.7549055,
3,2024-03-10 23:00:03.999,68422.15,68424.49,68408.98,3.59511,245968.7398621,
4,2024-03-10 23:00:04.999,68406.21,68426.03,68399.74,6.26974,428909.0211157,
5,2024-03-10 23:00:05.999,68420.0,68435.6,68402.36,4.24333,290315.6074089,
6,2024-03-10 23:00:06.999,68431.98,68440.0,68420.12,5.50065,376397.9393396,
7,2024-03-10 23:00:07.999,68407.07,68436.78,68397.76,6.86606,469771.3009429,
8,2024-03-10 23:00:08.999,68409.1,68409.88,68400.4,1.66542,113924.5000417,
9,2024-03-10 23:00:09.999,68408.39,68408.39,68392.29,2.6821,183463.50362,
10,2024-03-10 23:00:10.999,68413.74,68423.87,68408.01,2.50786,171576.4829424,
11,2024-03-10 23:00:11.999,68398.26,68415.99,68398.26,2.29005,156653.2684256,
12,2024-03-10 23:00:12.999,68421.9,68440.0,68397.0,10.32006,706135.6203722,
13,2024-03-10 23:00:13.999,68410.08,68423.97,68407.01,6.09686,417119.0400398,
14,2024-03-10 23:00:14.999,68408.59,68420.83,68406.0,4.42302,302584.4915274,
15,2024-03-10 23:00:15.999,68419.88,68420.0,68406.57,1.3793,94363.4238031,
16,2024-03-10 23:00:16.999,68436.79,68439.49,68418.27,2.14187,146566.6185209,
17,2024-03-10 23:00:17.999,68431.99,68436.63,68426.22,0.7052,48257.9393536,
18,2024-03-10 23:00:18.999,68440.78,68440.78,68413.33,5.94064,406462.7886402,
19,2024-03-10 23:00:19.999,68450.13,68459.0,68440.79,3.53921,242255.8007444,
20,2024-03-10 23:00:20.999,68437.99,68457.96,68434.91,2.92231,200017.4627461,
21,2024-03-10 23:00:21.999,68414.03,68433.06,68413.0,2.3131,158261.3571096,
22,2024-03-10 23:00:22.999,68421.37,68425.59,68412.0,1.48263,101438.6265541,
23,2024-03-10 23:00:23.999,68411.98,68428.95,68405.66,2.53386,173353.7235469,
24,2024-03-10 23:00:24.999,68419.97,68425.25,68413.96,1.02507,70135.0760157,
25,2024-03-10 23:00:25.999,68419.1,68424.88,68417.08,0.46491,31809.9350526,
26,2024-03-10 23:00:26.999,68425.28,68429.55,68418.42,1.41982,97149.403134,
27,2024-03-10 23:00:27.999,68412.01,68426.0,68408.42,1.68463,115260.4822346,
28,2024-03-10 23:00:28.999,68425.74,68425.97,68410.75,1.70303,116519.1864995,
29,2024-03-10 23:00:29.999,68416.17,68427.46,68416.17,0.89225,61050.4371461,
30,2024-03-10 23:00:30.999,68409.85,68415.97,68403.28,2.66114,182045.3421374,
31,2024-03-10 23:00:31.999,68419.18,68419.3,68405.36,1.0178,69629.8523417,
32,2024-03-10 23:00:32.999,68414.4,68417.93,68409.06,0.55258,37803.6164605,
33,2024-03-10 23:00:33.999,68415.99,68418.96,68408.52,0.54892,37553.5260328,
34,2024-03-10 23:00:34.999,68422.2,68430.79,68415.99,1.94474,133068.8946198,
35,2024-03-10 23:00:35.999,68418.95,68425.34,68414.2,2.79622,191318.256747,
36,2024-03-10 23:00:36.999,68409.94,68423.8,68405.07,4.80008,328411.6384956,
37,2024-03-10 23:00:37.999,68413.78,68415.99,68406.01,1.23847,84726.0157537,
38,2024-03-10 23:00:38.999,68414.75,68414.87,68409.48,0.21856,14952.1155092,
39,2024-03-10 23:00:39.999,68419.87,68442.0,68412.95,6.30722,431570.0011198,
40,2024-03-10 23:00:40.999,68416.43,68422.0,68413.0,2.70367,184979.2196846,
41,2024-03-10 23:00:41.999,68412.38,68419.84,68411.01,1.30978,89608.637019,
42,2024-03-10 23:00:42.999,68414.07,68417.97,68410.31,0.45168,30901.3164091,
43,2024-03-10 23:00:43.999,68409.99,68413.99,68403.28,0.47435,32448.7481945,
44,2024-03-10 23:00:44.999,68392.02,68409.73,68384.26,4.46439,305337.5311035,
45,2024-03-10 23:00:45.999,68391.26,68395.67,68382.58,2.11159,144408.1825863,
46,2024-03-10 23:00:46.999,68391.61,68396.6,68386.04,1.88908,129194.3907976,
47,2024-03-10 23:00:47.999,68388.41,68390.8,68379.51,5.49668,375889.0824095,
48,2024-03-10 23:00:48.999,68376.74,68390.2,68363.55,6.05987,414364.2814663,
49,2024-03-10 23:00:49.999,68423.67,68428.75,68373.19,7.13569,488065.1451256,
50,2024-03-10 23:00:50.999,68405.76,68422.79,68398.01,1.58202,108223.9889764,
51,2024-03-10 23:00:51.999,68400.02,68405.88,68391.81,1.18163,80819.4888025,
52,2024-03-10 23:00:52.999,68386.69,68399.44,68378.46,1.55944,106651.1664078,
53,2024-03-10 23:00:53.999,68374.08,68386.0,68368.0,4.2746,292281.1568993,
54,2024-03-10 23:00:54.999,68377.86,68380.56,68368.59,4.29655,293772.4582592,
55,2024-03-10 23:00:55.999,68369.38,68380.55,68364.01,5.05092,345348.2887772,
56,2024-03-10 23:00:56.999,68380.56,68380.56,68367.34,5.2128,356411.0202613,
57,2024-03-10 23:00:57.999,68386.13,68391.84,68376.05,5.14473,351814.9222066,
58,2024-03-10 23:00:58.999,68397.4,68397.4,68383.8,6.10782,417719.159989,
59,2024-03-10 23:00:59.999,68394.13,68397.99,68391.81,1.87888,128506.1105148,
60,2024-03-10 23:01:00.999,68395.73,68399.47,68389.56,0.53499,36589.9760311,
61,2024-03-10 23:01:01.999,68396.01,68400.78,68392.41,0.47833,32715.7272474,
62,2024-03-10 23:01:02.999,68384.62,68410.0,68384.62,5.19004,354976.2318759,
63,2024-03-10 23:01:03.999,68389.32,68391.42,68384.0,1.24796,85344.9791176,
64,2024-03-10 23:01:04.999,68385.23,68389.73,68381.82,0.75655,51736.7497777,
65,2024-03-10 23:01:05.999,68394.76,68397.64,68385.11,1.07748,73693.4600265,
66,2024-03-10 23:01:06.999,68390.15,68395.52,68390.15,0.34553,23631.6487464,
67,2024-03-10 23:01:07.999,68375.0,68392.99,68375.0,3.65291,249784.3500308,
68,2024-03-10 23:01:08.999,68402.25,68408.03,68371.56,5.20575,356034.4371104,
69,2024-03-10 23:01:09.999,68403.77,68424.62,68400.65,4.4678,305648.3445619,
70,2024-03-10 23:01:10.999,68413.99,68416.31,68403.71,1.02344,70014.9294918,
71,2024-03-10 23:01:11.999,68427.6,68437.54,68406.21,6.33161,433238.4197801,
72,2024-03-10 23:01:12.999,68431.99,68435.55,68419.04,7.31616,500619.9843396,
73,2024-03-10 23:01:13.999,68422.65,68435.94,68419.02,6.00869,411169.5733166,
74,2024-03-10 23:01:14.999,68414.1,68422.64,68408.58,6.18402,423088.433424,
75,2024-03-10 23:01:15.999,68411.42,68414.8,68402.92,3.43288,234835.7076657,
76,2024-03-10 23:01:16.999,68410.58,68411.44,68406.22,0.97771,66884.4122416,
77,2024-03-10 23:01:17.999,68420.0,68422.0,68413.52,0.69009,47214.5911736,
78,2024-03-10 23:01:18.999,68410.08,68424.0,68401.35,4.66638,319214.9555411,
79,2024-03-10 23:01:19.999,68419.51,68419.51,68406.77,0.69051,47241.5885103,
80,2024-03-10 23:01:20.999,68423.46,68427.91,68418.48,2.23169,152705.4093744,
81,2024-03-10 23:01:21.999,68405.64,68429.55,68400.84,2.93458,200769.6746204,
82,2024-03-10 23:01:22.999,68393.0,68405.96,68393.0,2.98677,204291.2303445,
